" is out of stock!"," jest niedostępny!"
"404 Page Not Found","404 Nie ma takiej strony"
"Account data has successfully been updated","Twoje dane zostały zaktualizowane"
"Adding a review ...","Adding a review ..."
"Are you sure you would like to remove this item from the shopping cart?","Czy na pewno chcesz usunąć ten produkt z koszyka?"
"Checkout","Płatność"
"Compare Products","Porównaj produkty"
"Error refreshing user token. User is not authorized to access the resource","Błąd odświeżania tokenu użytkownika. Użytkownik nie dostępu do zasobu"
"Error with response - bad content-type!","Błąd odpowiedzi - bad content-type!"
"Field is required","Pole jest wymagane"
"Field is required.","Pole jest wymagane."
"Grand total","Łączna suma"
"Home Page","Strona główna"
"In stock!","W magazynie!"
"Internal Application error while refreshing the tokens. Please clear the storage and refresh page.","Błąd odświeżania tokenów. Proszę wyczyścić pamięć podręczną przeglądarki."
"Internal validation error. Please check if all required fields are filled in. Please contact us on {email}","Błąd walidacji. Sprawdź czy wszystkie wymagane pola zostały wybrane. Proszę, skontaktuj się z nami na adres {email}"
"Must be greater than 0","Musi być większa niż 0"
"My Account","Moje konto"
"Newsletter preferences have successfully been updated","Twoje ustawienia subskrypcji zostały zaktualizowane"
"No products synchronized for this category. Please come back while online!","Brak produktów dla tej kategorii. Spróbuj ponownie po uzyskaniu dostępu do Internetu!"
"No such configuration for the product. Please do choose another combination of attributes.","Wybrane opcje są niedostępne. Wybierz inne opcje."
"OK","OK"
"Only {maxQuantity} products of this type are available!","Only {maxQuantity} products of this type are available!"
"Out of stock!","Produkt niedostępny!"
"Out of the stock!","Brak w magazynie!"
"Please configure product custom options and fix the validation errors","Skonfiguruj opcje produktu i popraw będy walidacji"
"Please fix the validation errors","Popraw błędy walidacji"
"Proceed to checkout","Przejdź do kasy"
"Product has been added to the cart!","Produkt został dodany do koszyka!"
"Product price is unknown, product cannot be added to the cart!","Nie można dodać produktu do koszyka, nie można potwierdzić ceny produktu!"
"Product quantity has been updated!","Ilość produktu została zaktualizowana!"
"Product {productName} has been added to the compare!","Produkt {productName} został dodany do porównania!"
"Product {productName} has been added to wishlist!","Produkt {productName} został dodany do listy życzeń!"
"Product {productName} has been removed from compare!","Produkt {productName} został usunięty z porównania!"
"Product {productName} has been removed from wishlist!","Produkt {productName} został usunięty z listy życzeń!"
"Registering the account ...","Tworzenie konta ..."
"Reset password feature does not work while offline!","Aby zresetowa hasło musisz posiadać połączenie z Internetem!"
"Shopping cart is empty. Please add some products before entering Checkout","Koszyk jest pusty. Dodaj produkty."
"Some of the ordered products are not available!","Niektóre z produktów są niedostępne!"
"Stock check in progress, please wait while available stock quantities are checked","Trwa sprawdzanie dostępności produktów, proszę czekać"
"Subtotal incl. tax","Kwota częściowa brutto"
"The product is out of stock and cannot be added to the cart!","Produkt jest niedostępny!"
"The system is not sure about the stock quantity (volatile). Product has been added to the cart for pre-reservation.","The system is not sure about the stock quantity (volatile). Product has been added to the cart for pre-reservation."
"There is no Internet connection. You can still place your order. We will notify you if any of ordered products is not available because we cannot check it right now.","Brak połączenia z Internetem. Możesz nadal złożyć zamówienie. Poinformujemy Cię jeśli któryś z produktów nie będzie dostępny."
"This feature is not implemented yet! Please take a look at https://github.com/DivanteLtd/vue-storefront/issues for our Roadmap!","Wybrana opcja jest niedostępna!"
"Thumbnail","Miniaturka"
"Type what you are looking for...","Znajdź..."
"Unhandled error, wrong response format!","Nieobsługiwany błąd, nieprawidłowy format odpowiedzi!"
"You are logged in!","Jesteś zalogowany!"
"You need to be logged in to see this page","Musisz być zalogowany, aby zobaczyć tę stronę"
"You submitted your review for moderation.","You submitted your review for moderation."
"You're logged out","Jesteś wylogowany"
"not authorized","nieautoryzowany"
