"About us","О нас"
"Accepts only alphabet characters.","Accepts only alphabet characters."
"Add a discount code","Ввести скидочный код"
"Add discount code","Применить"
"Add to cart","Добавить в корзину"
"Add to compare","Добавить для сравнения"
"Add to favorite","Добавить в избранное"
"Author","Автор"
"Authorization in progress ...","Производится авторизация ..."
"Back to login","Назад на авторизацию"
"Back","Назад"
"Billing address","Платежный адрес"
"Cancel","Отмена"
"Change my password","Изменить мой пароль"
"City *","Город *"
"City","Город"
"Close","Закрыть"
"Company name *","Название компании *"
"Contact us","Контакты"
"Continue to payment","Перейти к платежу"
"Continue to shipping","Перейти к доставке"
"Copy address data from shipping","Скопировать адресные данные из доставки"
"Country *","Страна *"
"Country","Страна"
"Create a new account","Создать новую учетную запись"
"Current password *","Текущий пароль *"
"Customer service","Служба поддержки"
"Date and time","Дата и время"
"Delivery","Доставка"
"Departments","Отделы"
"Discount code","Скидочный код"
"Discount","Скидка"
"Don't hesitate and","Не раздумывайте и"
"E-mail address *","Электронный адрес *"
"Edit newsletter preferences","Изменить новостные предпочтения"
"Edit payment","Изменить платеж"
"Edit personal details","Изменить личную информацию"
"Edit shipping","Изменить доставку"
"Edit your profile","Изменить личный кабинет"
"Edit your shipping details","Изменить детали доставки"
"Edit","Изменить"
"Email address *","Электронный адрес *"
"Email address","Электронный адрес"
"Enter your email to receive instructions on how to reset your password.","Введите свой электронный адрес для получения инструкции как переустановить свой пароль."
"Erin recommends","Erin рекомендует"
"Error while sending reset password e-mail","Произошла ошибка при отправке письма для переустановки пароля"
"Everything new","Новинки"
"Field is required","Обязательное поле"
"Filter","Фильтр"
"Filters","Фильтры"
"First name *","Имя *"
"First name","Имя"
"Forgot the password?","Забыли пароль?"
"General agreement","Генеральное соглашение"
"Get inspired","Воодушевись"
"Go review the order","Перейдите к обзору заказа"
"Go to Facebook","Перейти в Facebook"
"Go to Instagram","Перейти в Instagram"
"Go to Pinterest","Перейти в Pinterest"
"Go to Youtube","Перейти в Youtube"
"Go to checkout","Перейти к оформлению заказа"
"Help","Помощь"
"Home","Главная"
"House/Apartment number *","Дом/Номер квартиры *"
"House/Apartment number","Дом/Номер квартиры"
"I accept ","Я принимаю "
"I accept terms and conditions","Я принимаю условия и положения"
"I agree to","Я согласен с"
"I have a company and want to receive an invoice for every order","У меня есть компания и я хотел бы получать счет по каждому заказу"
"I want to create an account","Я хочу создать учетную запись"
"I want to create an account'","Я хочу создать учетную запись'"
"I want to generate an invoice for the company","Я хочу сгенерировать счет для компании"
"I want to receive a newsletter, and agree to its terms","Я хочу получать новости, и принимаю условия и положения"
"If you need an assistance you can drop us a line on","Если Вам нужна помощь, Вы можете написать нам в"
"Items ordered","Заказанные товары"
"Kidswear","Детская одежда"
"Last name *","Фамилия *"
"Last name","Фамилия"
"Legal notice","Официальное уведомление"
"Log in to your account","Войти под своей учетной записью"
"Log in","Войти"
"Login to your account","Войти под своей учетной записью"
"Logout","Выйти"
"Magazine","Журнал"
"Men's fashion","Мужская одежда"
"My Account","Личный кабинет"
"My account","Личный кабинет"
"My loyalty card","Моя дисконтная карта"
"My newsletter","Мои новости"
"My orders","Мои заказы"
"My product reviews","Мои обзоры товаров"
"My profile","Мой личный кабинет"
"My shipping details","Мои детали доставки"
"Name must have at least 3 letters.","Имя должно состоять из минимум 3 букв."
"New Luma Yoga Collection","Новая коллекция Luma Yoga"
"New password *","Новый пароль *"
"Newsletter","Новости"
"No orders yet","Заказов пока нет"
"No products found!","Товары не найдены!"
"No results were found.","Ничего не найдено."
"Open menu","Открыть меню"
"Open microcart","Открыть корзину"
"Open my account","Открыть личный кабинет"
"Open search panel","Открыть панель поиска"
"Open wishlist","Открыть список пожеланий"
"Order #{id}","Заказ #{id}"
"Order ID","ID заказа"
"Order Summary","Итог заказа"
"Order informations","Информация о заказе"
"Orders","Заказы"
"Password *","Пароль *"
"Passwords must be identical","Пароли должны быть идентичными"
"Passwords must be identical.","Пароли должны быть идентичными."
"Payment method","Способ оплаты"
"Payment","Платеж"
"Personal Details","Личная информация"
"Phone Number","Номер телефона"
"Phone number may be needed by carrier","Номер телефона может понадобиться курьеру"
"Place the order","Оформить заказ"
"Please check if all data are correct","Пожалуйста проверьте корректность всех данных"
"Please provide valid e-mail address.","Пожалуйста укажите валидный электронный адрес."
"Price {variant}","Цена {variant}"
"Price","Цена"
"Privacy policy","Политика конфиденциальности"
"Product Name","Название товара"
"Product details","Детали товара"
"Purchase","Заказ"
"Qty","К-во"
"Quantity","Количество"
"Register an account","Создать учетную запись"
"Register","Регистрация"
"Remake order","Повторить заказ"
"Remember me","Запомнить меня"
"Remove from compare","Удалить из страницы сравнения"
"Remove","Удалить"
"Repeat new password *","Повторите новый пароль *"
"Repeat password *","Повторите пароль *"
"Reset password","Переустановить пароль"
"Resetting the password ... ","Пароль переустанавливается ... "
"Return policy","Политика возврата"
"Return to shopping","Вернуться в магазин"
"Returns","Возвраты"
"Review order","Обзор заказа"
"SKU","Идентификационный номер товара"
"SKU: {sku}","Идентификационный номер товара: {sku}"
"Safety","Безопасность"
"Sale","Распродажа"
"Search","Поиск"
"See details","Посмотреть детали"
"See our bestsellers","Посмотрите наши бестселлеры"
"Select color ","Выберите цвет "
"Select size {variant}","Выберите размер {variant}"
"Ship to my default address","Отправить на мой адрес по умолчанию"
"Shipping address","Адрес доставки"
"Shipping method","Способ доставки"
"Shipping","Доставка"
"Shopping cart","Корзина"
"Shopping summary","Резюме покупок"
"Show subcategories","Показать подкатегории"
"Sign up to our newsletter and receive a coupon for 10% off!","Подпишитесь к нашим новостям и получите купон на 10% скидку!"
"Similar products","Похожие товары"
"Size guide", "Помощник по размерам"
"State / Province","Область / Район"
"Status","Статус"
"Store locator","Расположение магазинов"
"Street name *","Название улицы *"
"Street name","Название улицы"
"Subscribe to the newsletter and receive a coupon for 10% off","Подпишитесь к новостям и получите купон на 10% скидку"
"Subscribe","Подписка"
"Subtotal","Подитог"
"Tax ID *","ИНН *"
"Tax ID must have at least 3 letters.","ИНН должен состоять из минимум 3 символов."
"Tax identification number *","Идентификационный номер налогоплательщика *"
"Tax identification number must have at least 3 letters.","Идентификационный номер налогоплательщика должен состоять из минимум 3 символов."
"Tax","Налог"
"Terms and conditions","Условия и положения"
"The new account will be created with the purchase. You will receive details on e-mail.","Новая учетная запись будет создана вместе с заказом. Детали будут высланы Вам на электронный адрес."
"Toggle password visibility","Переключить видимость пароля"
"Track my order","Отследить заказ"
"Type","Тип"
"Unfortunately we can't find the page you are looking for.","К сожалению, мы не смогли найти запрашиваемую Вами страницу."
"Update my preferences","Обновить мои предпочтения"
"Update my profile","Обновить личный кабинет"
"Update my shipping details","Обновить детали доставки"
"Use my billing data","Использовать мои платежные данные"
"Use my company's address details","Использовать адресные данные моей компании"
"Use my company's address details","Использовать адресные данные моей компании"
"Value","Значение"
"View all","Посмотреть все"
"View order","Посмотреть заказ"
"We can't find the page","Мы не смогли найти страницу"
"We use cookies to give you the best shopping experience.","Для предоставления Вам лучшего сервиса мы используем cookies."
"We will send you details regarding the order","Мы вышлем Вам детали заказа"
"We will send you the invoice to given e-mail address","Мы вышлем Вам счет на указанный электронный адрес"
"We've sent password reset instructions to your email. Check your inbox and follow the link.","Мы выслали на Ваш электронный адрес инструкцию по переустановке пароля. Проверьте почту и следуйте указанной там ссылке."
"Wishlist","Список пожеланий"
"Women fashion","Женская одежда"
"You are logged in as {firstname}","Вы авторизованы как {firstname}"
"You are offline. Some features might not be available.","Отсутствует соединение с интернетом, некоторые возможности будут ограничены"
"You can also use","Также Вы можете воспользоваться"
"You have been successfully subscribed to our newsletter!","Вы успешно подписались к нашим новостям!"
"You have no items to compare.","У Вас нет товаров для сравнения."
"You must accept the terms and conditions.","Вам необходимо принять условия и положения."
"You've entered an incorrect coupon code. Please try again.","Вы ввели неверный код купона. Пожалуйста попробуйте еще раз."
"Your shopping cart is empty.","Ваша корзина пустая."
"Your wishlist is empty.","Ваш список пожеланий пуст."
"Zip-code *","Почтовый индекс *"
"Zip-code must have at least 3 letters.","Почтовый индекс должен состоять из минимум 3 символов."
"Zip-code","Почтовый индекс"
"a chat","чат"
"a contact page","страницу контактов"
"browse our catalog","пролистайте наш каталог"
"color_filter","Цвет"
"login to your account","войти под своей учетной записью"
"or write to us through","или написать нам через"
"or","или"
"price_filter","Цена"
"register an account","создать учетную запись"
"return to log in","вернуться для авторизации"
"search","поиском"
"size_filter","Размер"
"to find product you were looking for.","чтобы найти искомый Вами товар."
"to find something beautiful for You!","чтобы найти что-нибудь красивое для Вас!"
