" is out of stock!"," нет в наличии!"
"404 Page Not Found","404 Страница не найдена"
"Account data has successfully been updated","Данные учетной записи успешно обновлены"
"Adding a review ...","Adding a review ..."
"Are you sure you would like to remove this item from the shopping cart?","Вы уверены, что хотите удалить этот товар из корзины?"
"Checkout","Оформление заказа"
"Compare Products","Сравнить товары"
"Error with response - bad content-type!","Ошибка в ответе - плохой content-type!"
"Field is required","Обязательное поле"
"Field is required.","Обязательное поле."
"Grand total","Общий итог"
"Home Page","Главная страница"
"Internal validation error. Please check if all required fields are filled in. Please contact us on {email}","Внутренняя валидационная ошибка. Пожалуйста проверьте заполненность всех обязательных полей. Пожалуйста свяжитесь с нами по {email}"
"My Account","Личный кабинет"
"Newsletter preferences have successfully been updated","Предпочтения по новостям успешно обновлены"
"No products synchronized for this category. Please come back while online!","По данной категории товары не синхронизированы. Пожалуйста вернитесь когда будете онлайн!"
"No such configuration for the product. Please do choose another combination of attributes.","У товара отсутствует данная конфигурация. Пожалуйста выберите другие значения атрибутов."
"Only {maxQuantity} products of this type are available!","Only {maxQuantity} products of this type are available!"
"Out of stock!","Нет в наличии!"
"Please fix the validation errors","Пожалуйста исправьте валидационные ошибки"
"Product has been added to the cart!","Товар добавлен в корзину!"
"Product price is unknown, product cannot be added to the cart!","Цена товара неизвестна, товар нельзя добавить в корзину!"
"Product quantity has been updated!","Количество товара обновлено!"
"Product {productName} has been added to the compare!","Товар {productName} добавлен к странице сравнения!"
"Product {productName} has been added to wishlist!","Товар {productName} добавлен к списку пожеланий!"
"Product {productName} has been removed from compare!","Товар {productName} удален из страницы сравнения!"
"Product {productName} has been removed from wishlist!","Товар {productName} удален из списка пожеланий!"
"Registering the account ...","Создается учетная запись ..."
"Reset password feature does not work while offline!","Возможность переустановки пароля не работает при отсутствующем соединении к интернету!"
"Shopping cart is empty. Please add some products before entering Checkout","Корзина пустая. Пожалуйста добавьте товары перед оформлением заказа"
"Some of the ordered products are not available!","Некоторые из заказанных товаров не доступны!"
"Stock check in progress, please wait while available stock quantities are checked","Производится проверка товаров на наличие, пожалуйста дождитесь завершения процесса проверки доступного количества"
"Subtotal incl. tax","Подитог вкл. налог"
"The product is out of stock and cannot be added to the cart!","Товара нет в наличии и его нельзя добавить в корзину"
"The system is not sure about the stock quantity (volatile). Product has been added to the cart for pre-reservation.","Система не может удостовериться в наличии необходимого количества (изменчиво). Товар добавлен в корзину для предварительного бронирования."
"There is no Internet connection. You can still place your order. We will notify you if any of ordered products is not available because we cannot check it right now.","Отсутствует соединение к интернету. Однако вы можете оформить заказ. Мы уведомим Вас об отсутствии какого-либо из заказанных товаров позднее, так как не можем проверить это в данный момент."
"This feature is not implemented yet! Please take a look at https://github.com/vuestorefront/vue-storefront/issues for our Roadmap!","Данная возможность пока не реализована! Пожалуйста ознакомьтесь с нашей дорожной картой тут: https://github.com/vuestorefront/vue-storefront/issues"
"Thumbnail","Thumbnail"
"Type what you are looking for...","Введите то что Вы ищите..."
"Unhandled error, wrong response format!","Необработанная ошибка, неверный формат ответа!"
"You are logged in!","Вы авторизовались!"
"You need to be logged in to see this page","Вы должны войти в систему, чтобы увидеть эту страницу"
"You submitted your review for moderation.","You submitted your review for moderation."
"You're logged out","Вы вышли из учетной записи"
